# q qerr I(q) I(q)err
3.001749291795529316e-03 1.167853270244704247e-04 1.114466666666666697e+03 7.567480814741553559e+02
3.216946015612575076e-03 6.406021311444656113e-05 2.463536231884057997e+03 1.647781075825921334e+03
3.430819248455692968e-03 7.252053699931147659e-05 2.169436781609195350e+03 1.477307004876135125e+03
3.672101494117159613e-03 7.545375631879780269e-05 1.710464646464646421e+03 1.065072061349732394e+03
3.918307832378639319e-03 7.374016049620304720e-05 1.300280373831775705e+03 6.907088724207452515e+02
4.147718136434350687e-03 6.107192035677698103e-05 9.652526315789473301e+02 3.337526217436735010e+02
4.365502826808959243e-03 6.779080658174564808e-05 7.486261682242990219e+02 1.666387236889555368e+02
4.594999596112334626e-03 7.420628290313399807e-05 6.218780487804878021e+02 9.709826758146121506e+01
4.835936192065706969e-03 7.320149930589021881e-05 5.173095238095238528e+02 6.100795147858188017e+01
5.080814687701338921e-03 7.653000632488168636e-05 4.459583333333333144e+02 4.079774880885428701e+01
5.317078266608570546e-03 6.172106439101172914e-05 3.913902439024390105e+02 3.086327816875311214e+01
5.551471060931053268e-03 7.668524467813574576e-05 3.488086419753086602e+02 2.587432548690942369e+01
5.788366925541485984e-03 6.194770960560404868e-05 3.133111111111111313e+02 2.191063405686066901e+01
6.009776342023025880e-03 6.950277321810145736e-05 2.840387096774193765e+02 2.159776070405820647e+01
6.247094567316056890e-03 7.317752475420629581e-05 2.591169590643274887e+02 1.823767352330224867e+01
6.480842620397410207e-03 6.691741107424957404e-05 2.359308176100628884e+02 1.793176616530142553e+01
6.718305882023165379e-03 7.577205940640407739e-05 2.193061224489795791e+02 1.667347563260193510e+01
6.954283760887284942e-03 6.032943043655961634e-05 2.041595092024539895e+02 1.581643400005675026e+01
7.176272274730767682e-03 6.864708281211200774e-05 1.898457446808510554e+02 1.425347519036194477e+01
7.411440332622126065e-03 7.201436331295212967e-05 1.785300000000000011e+02 1.378048438916426477e+01
7.640547325048651327e-03 6.719666067278881421e-05 1.668936170212765830e+02 1.324940102167745870e+01
7.880909625388352394e-03 7.780078248694467205e-05 1.576440677966101589e+02 1.310707949517537863e+01
8.119534573631228755e-03 6.182975050629921810e-05 1.476649214659685754e+02 1.240381209248154448e+01
8.341212846027333885e-03 7.037901862628595019e-05 1.398401826484018216e+02 1.254530539917786847e+01
8.584257463478678699e-03 7.672081168970473167e-05 1.330597609561752961e+02 1.093318413478678508e+01
8.826919166718070683e-03 6.518131950376178396e-05 1.269817351598173474e+02 1.115497077310623197e+01
9.051576779129599792e-03 7.018745924619574326e-05 1.213916666666666657e+02 1.155828977401068514e+01
9.278754197832399936e-03 6.574873290523112796e-05 1.178722466960352477e+02 1.116223324900545677e+01
9.511181178050998053e-03 7.470724405325664997e-05 1.131529850746268693e+02 1.026148439209260843e+01
9.756331684265373561e-03 7.268311501543828993e-05 1.095296296296296248e+02 1.098497165197923309e+01
9.992460030236703650e-03 6.501341219802315996e-05 1.056904761904761898e+02 1.107935797289079360e+01
1.021767907988490980e-02 6.882116667024825156e-05 1.021086142322097317e+02 9.804065273434318328e+00
1.044627826021552429e-02 6.776641009522302674e-05 1.002310606060606091e+02 9.485462633810248789e+00
1.067941769640304468e-02 7.427835917673683769e-05 9.766555183946488228e+01 9.076453555755449543e+00
1.092103363594707117e-02 6.948634926740279217e-05 9.444863013698629572e+01 9.658674517352970668e+00
1.115205959515964615e-02 6.613677834257579403e-05 9.285512367491166685e+01 1.033056379825981352e+01
1.138090927839274270e-02 7.036315799772670850e-05 9.044736842105263008e+01 1.005733649198531232e+01
1.161908717993895106e-02 7.230519164610463203e-05 8.773417721518987378e+01 8.955128129766853462e+00
1.185129732832000682e-02 6.908715592862023315e-05 8.602272727272726627e+01 9.302433635701746084e+00
1.208558089049110301e-02 7.062077464939989495e-05 8.361773700305811019e+01 8.990792922613950466e+00
1.231793957662911075e-02 6.797072397413507841e-05 8.232278481012657778e+01 8.886663086015934354e+00
1.255104362664789287e-02 7.284146348496770690e-05 8.177011494252873547e+01 9.124203525363471456e+00
1.278854709885444453e-02 6.836902354776895477e-05 8.000301204819277245e+01 8.937702731713667248e+00
1.301955791686103432e-02 7.052250088700313892e-05 7.850852272727273373e+01 8.922405873721123371e+00
1.325028003696187423e-02 6.572913682214379116e-05 7.690060240963855165e+01 8.609083967112548308e+00
1.348330464865910884e-02 7.403947498893654331e-05 7.619473684210525732e+01 8.653229426138254965e+00
1.372355777471481568e-02 7.011324266142941383e-05 7.510354223433242282e+01 8.670028699456519661e+00
1.396363525470880468e-02 7.100822662538032210e-05 7.331701030927834495e+01 8.787779228492944128e+00
1.419611930545690293e-02 6.442105916470620042e-05 7.249719101123595522e+01 8.503716038671285560e+00
1.442295386479172138e-02 6.909816387485589995e-05 7.019736842105263008e+01 8.027320903416443443e+00
1.465427040331478310e-02 7.032050413528805792e-05 7.065984654731457226e+01 8.175570158103784735e+00
1.488826669148199562e-02 6.870854531503662287e-05 6.929620253164557653e+01 7.958697257801648384e+00
1.512493372137564684e-02 7.038106039296808131e-05 6.742822384428224325e+01 8.305314574894660851e+00
1.535996817115549591e-02 6.948886920014566576e-05 6.625000000000000000e+01 8.008994637158849628e+00
1.559107684366512793e-02 6.926322144844645774e-05 6.528249999999999886e+01 8.039334549575606559e+00
1.582030048556574975e-02 6.778990216657608829e-05 6.370284237726097842e+01 8.044214014463864970e+00
1.604934829520379691e-02 6.632072085052491666e-05 6.221204188481675601e+01 8.034291142362707916e+00
1.628904364851086611e-02 7.370425539511840857e-05 6.124228028503562626e+01 7.973014118631302161e+00
1.652925296731121152e-02 6.866669088367037858e-05 6.093814432989690744e+01 8.408613282869172423e+00
1.676290647126136429e-02 6.841736000850834820e-05 6.041432225063938688e+01 7.692174606248245894e+00
1.698898227523908816e-02 6.513545783602395407e-05 5.958221024258759968e+01 7.659503336956699826e+00
1.721559450095504207e-02 6.815141817037284600e-05 5.852971576227390216e+01 7.825773687634185016e+00
1.745425431013439971e-02 7.361591577158020986e-05 5.758194774346793565e+01 7.192303347057187324e+00
1.769237993647997109e-02 6.752629516254465077e-05 5.725388601036269165e+01 7.449375440140811655e+00
1.792581344598703774e-02 6.995690167491317953e-05 5.676049382716049507e+01 7.736801328884022055e+00
1.815810556613557669e-02 6.785108792352181407e-05 5.664705882352941302e+01 7.076480473999893661e+00
1.839232362436072146e-02 7.095327149885457684e-05 5.602689486552566933e+01 7.021575386473704938e+00
1.863037138017983527e-02 7.115596482089993704e-05 5.535645933014354370e+01 7.138286155120806775e+00
1.886280557207787104e-02 6.449751950033663162e-05 5.520104438642297850e+01 7.616582264763216870e+00
1.909573960115521288e-02 7.170118321703184772e-05 5.468298368298368217e+01 7.290119884889254109e+00
1.933100079269604518e-02 6.740791281490355268e-05 5.457575757575757791e+01 7.216231533928930020e+00
1.956643258492160933e-02 7.263834258317552345e-05 5.416129032258064768e+01 7.514175692063806977e+00
1.980140115393233882e-02 6.562685565221032481e-05 5.357644110275689542e+01 7.555474867263230365e+00
2.002553894851007155e-02 6.516318768203393532e-05 5.361868686868687206e+01 7.213385495953569482e+00
2.025791866108470757e-02 7.136486459924699065e-05 5.258810068649885494e+01 6.849551293035063715e+00
2.049506424590396420e-02 6.900197405484374000e-05 5.276849642004773244e+01 7.465962964099135846e+00
2.073118625762118000e-02 7.052247030088847036e-05 5.125229357798165353e+01 7.343083246132578346e+00
2.096357000287297698e-02 6.647394664901699988e-05 5.145169082125603666e+01 6.939348266611887972e+00
2.119430833328746558e-02 6.961349209216719826e-05 5.080841121495327428e+01 6.921640541254583390e+00
2.143145413784678169e-02 7.298555940605846982e-05 4.998687089715536302e+01 7.238951907447452427e+00
2.167047737296409413e-02 6.691391229536730319e-05 5.011475409836065609e+01 6.891173427077410985e+00
2.189928641736541004e-02 6.715504648428360229e-05 5.002564102564102910e+01 6.866143346276477821e+00
2.212935186570120366e-02 6.857374351609249376e-05 4.940318906605922677e+01 7.359161882242532648e+00
2.236393702227972707e-02 6.998460737683496991e-05 4.831390134529147673e+01 7.411717742509416951e+00
2.259777835583483968e-02 6.986464902764970590e-05 4.856415929203539861e+01 7.169827317353629326e+00
2.283319440761695171e-02 6.790936196889400258e-05 4.830717488789237990e+01 6.526115906373633813e+00
2.306264206423920202e-02 6.694360958493462607e-05 4.741590909090908923e+01 6.965875352135407539e+00
2.329708818082978222e-02 7.159338094189254982e-05 4.672823779193205951e+01 7.240770195622546090e+00
2.353543375433993223e-02 6.985578503684801541e-05 4.712200435729847214e+01 7.018849467248645446e+00
2.377007062717483368e-02 7.009305664980517553e-05 4.607036247334755075e+01 6.702758303247593474e+00
2.400302358301376407e-02 6.597292527615178370e-05 4.655056179775280611e+01 6.575860335279129387e+00
2.423507457935474702e-02 7.157919103467260530e-05 4.601446280991735449e+01 6.440592027728945013e+00
2.447096161315339205e-02 6.736211404920262771e-05 4.565577342047929932e+01 6.901622425191385801e+00
2.470427111069508144e-02 6.982655739072169126e-05 4.448648648648648418e+01 6.957944448867892540e+00
2.493809997853204188e-02 6.775469533352249248e-05 4.584221748400852903e+01 6.313448317807138999e+00
2.517118618717203993e-02 6.980743985615223796e-05 4.505744680851064032e+01 6.537373143959200661e+00
2.540636145408604191e-02 6.938193712001703524e-05 4.430222222222221973e+01 6.737820287171678579e+00
2.563827354025385516e-02 6.629623788449823620e-05 4.361915887850467044e+01 6.213217381073492973e+00
2.586948195348701476e-02 6.770189532135148904e-05 4.353810623556582016e+01 6.780143429670376420e+00
2.609745587984336687e-02 6.509333995869156359e-05 4.382352941176470296e+01 6.618660053187049641e+00
2.633484837400032474e-02 7.348807666944635701e-05 4.265859030837004440e+01 6.965418052939480908e+00
2.657557098811626564e-02 6.881179166339853475e-05 4.214285714285714590e+01 6.402300819417412470e+00
2.680365379537597362e-02 6.422825624438124588e-05 4.190051020408163396e+01 6.145560121298800027e+00
2.703234577850367401e-02 6.946685782169436285e-05 4.192399049881235129e+01 6.825530473056600655e+00
2.726970666685900324e-02 6.993093227310868997e-05 4.177434679334916723e+01 6.333063202753852927e+00
2.750750127458209335e-02 6.961999393279447927e-05 4.127142857142857224e+01 6.544777738491851515e+00
2.774064166089718064e-02 6.699331928476430444e-05 4.093034825870646642e+01 6.336536261224045674e+00
2.797286317169397213e-02 6.855334754057274232e-05 4.070588235294117396e+01 6.248806114344668039e+00
2.820747942598401947e-02 7.000105603626221500e-05 4.050485436893203683e+01 6.013636434721295387e+00
2.843871508024181996e-02 6.660692948204320466e-05 4.029743589743589638e+01 6.332212088020989782e+00
2.867376841695860532e-02 7.113061539282546195e-05 3.957345971563981379e+01 6.375455788655914446e+00
2.890771417331186935e-02 6.480505975226419921e-05 3.891884816753926657e+01 6.220933066948943768e+00
2.913907964587559782e-02 7.035121785828480224e-05 3.951960784313725839e+01 6.254677219516478814e+00
