# q qerr I(q) I(q)err
3.001749291795529316e-03 1.167853270244704247e-04 7.875666666666667197e+02 5.043011784564780555e+02
3.216946015612575076e-03 6.406021311444656113e-05 1.433101449275362256e+03 4.683389301533285902e+02
3.430819248455692968e-03 7.252053699931147659e-05 1.300988505747126510e+03 3.787109712376501420e+02
3.672101494117159613e-03 7.545375631879780269e-05 1.088111111111111086e+03 2.584491800637899246e+02
3.918307832378639319e-03 7.374016049620304720e-05 8.960000000000000000e+02 1.715041755847088893e+02
4.147718136434350687e-03 6.107192035677698103e-05 7.559578947368421495e+02 1.152462712936579550e+02
4.365502826808959243e-03 6.779080658174564808e-05 6.524112149532710418e+02 8.757001565940750254e+01
4.594999596112334626e-03 7.420628290313399807e-05 5.784146341463414274e+02 6.804435833753247209e+01
4.835936192065706969e-03 7.320149930589021881e-05 5.176904761904761472e+02 6.000070231385386421e+01
5.080814687701338921e-03 7.653000632488168636e-05 4.687500000000000000e+02 4.610583763352411779e+01
5.317078266608570546e-03 6.172106439101172914e-05 4.304390243902439011e+02 4.268153307828981013e+01
5.551471060931053268e-03 7.668524467813574576e-05 3.992469135802469395e+02 3.250008265615038283e+01
5.788366925541485984e-03 6.194770960560404868e-05 3.695703703703703695e+02 3.166569026001718257e+01
6.009776342023025880e-03 6.950277321810145736e-05 3.518709677419354875e+02 2.820744471881556592e+01
6.247094567316056890e-03 7.317752475420629581e-05 3.387894736842105203e+02 2.438209612123216985e+01
6.480842620397410207e-03 6.691741107424957404e-05 3.235849056603773306e+02 2.463650059372652379e+01
6.718305882023165379e-03 7.577205940640407739e-05 3.109336734693877702e+02 2.116059480720596753e+01
6.954283760887284942e-03 6.032943043655961634e-05 3.009509202453987768e+02 2.029514709472123357e+01
7.176272274730767682e-03 6.864708281211200774e-05 2.953191489361702224e+02 2.001384762799034078e+01
7.411440332622126065e-03 7.201436331295212967e-05 2.924800000000000182e+02 1.996852523347680375e+01
7.640547325048651327e-03 6.719666067278881421e-05 2.895638297872340559e+02 1.946516226169592656e+01
7.880909625388352394e-03 7.780078248694467205e-05 2.883559322033898411e+02 1.774901019287480963e+01
8.119534573631228755e-03 6.182975050629921810e-05 2.894397905759162200e+02 1.820196430660280740e+01
8.341212846027333885e-03 7.037901862628595019e-05 2.918858447488584602e+02 1.714856277688161867e+01
8.584257463478678699e-03 7.672081168970473167e-05 2.978326693227091368e+02 1.944619759029059125e+01
8.826919166718070683e-03 6.518131950376178396e-05 3.021187214611871923e+02 1.840327447083053158e+01
9.051576779129599792e-03 7.018745924619574326e-05 3.094791666666666856e+02 1.747037671316792284e+01
9.278754197832399936e-03 6.574873290523112796e-05 3.179867841409691778e+02 1.775170738658813363e+01
9.511181178050998053e-03 7.470724405325664997e-05 3.290820895522388128e+02 1.833165398317801831e+01
9.756331684265373561e-03 7.268311501543828993e-05 3.392740740740740648e+02 2.007458247272023755e+01
9.992460030236703650e-03 6.501341219802315996e-05 3.479285714285714448e+02 1.958605785071409500e+01
1.021767907988490980e-02 6.882116667024825156e-05 3.579662921348314626e+02 1.919646726641825651e+01
1.044627826021552429e-02 6.776641009522302674e-05 3.669015151515151274e+02 1.958028740745849205e+01
1.067941769640304468e-02 7.427835917673683769e-05 3.747357859531772419e+02 1.862469167675969572e+01
1.092103363594707117e-02 6.948634926740279217e-05 3.812397260273972392e+02 2.058847088137563119e+01
1.115205959515964615e-02 6.613677834257579403e-05 3.901060070671377957e+02 1.866507157238641668e+01
1.138090927839274270e-02 7.036315799772670850e-05 3.929177631578947398e+02 1.800784385400104171e+01
1.161908717993895106e-02 7.230519164610463203e-05 3.945474683544304071e+02 1.924367687068365029e+01
1.185129732832000682e-02 6.908715592862023315e-05 3.959772727272727479e+02 1.981774245908787435e+01
1.208558089049110301e-02 7.062077464939989495e-05 3.962048929663608305e+02 1.927520606903416223e+01
1.231793957662911075e-02 6.797072397413507841e-05 3.957626582278480782e+02 2.017713974860030746e+01
1.255104362664789287e-02 7.284146348496770690e-05 3.930804597701149419e+02 2.036638736848347619e+01
1.278854709885444453e-02 6.836902354776895477e-05 3.915331325301204970e+02 1.770696621769620904e+01
1.301955791686103432e-02 7.052250088700313892e-05 3.866079545454545610e+02 2.007178209816144587e+01
1.325028003696187423e-02 6.572913682214379116e-05 3.805240963855421796e+02 1.913689832459396456e+01
1.348330464865910884e-02 7.403947498893654331e-05 3.745026315789473870e+02 1.856507048479114630e+01
1.372355777471481568e-02 7.011324266142941383e-05 3.697874659400545170e+02 1.866054207527087172e+01
1.396363525470880468e-02 7.100822662538032210e-05 3.610025773195876013e+02 1.934534228286583968e+01
1.419611930545690293e-02 6.442105916470620042e-05 3.543089887640449547e+02 1.850829757927289165e+01
1.442295386479172138e-02 6.909816387485589995e-05 3.439736842105263008e+02 1.876122194190619652e+01
1.465427040331478310e-02 7.032050413528805792e-05 3.360971867007672813e+02 1.888289419898618959e+01
1.488826669148199562e-02 6.870854531503662287e-05 3.252607594936708892e+02 1.917893111761686953e+01
1.512493372137564684e-02 7.038106039296808131e-05 3.150754257907542524e+02 1.866034850665896627e+01
1.535996817115549591e-02 6.948886920014566576e-05 3.061078431372549176e+02 1.878590436488519799e+01
1.559107684366512793e-02 6.926322144844645774e-05 2.963399999999999750e+02 1.883587667192584547e+01
1.582030048556574975e-02 6.778990216657608829e-05 2.899069767441860677e+02 1.763428054925277166e+01
1.604934829520379691e-02 6.632072085052491666e-05 2.803141361256544428e+02 1.706183839221650089e+01
1.628904364851086611e-02 7.370425539511840857e-05 2.732612826603325402e+02 1.757160580646041836e+01
1.652925296731121152e-02 6.866669088367037858e-05 2.692164948453608417e+02 1.594522121862582686e+01
1.676290647126136429e-02 6.841736000850834820e-05 2.687135549872122624e+02 1.602113627217330816e+01
1.698898227523908816e-02 6.513545783602395407e-05 2.677762803234501234e+02 1.584784522388926753e+01
1.721559450095504207e-02 6.815141817037284600e-05 2.673049095607235017e+02 1.659919097538181987e+01
1.745425431013439971e-02 7.361591577158020986e-05 2.702612826603325402e+02 1.683647213048302405e+01
1.769237993647997109e-02 6.752629516254465077e-05 2.724818652849741056e+02 1.635097998380453532e+01
1.792581344598703774e-02 6.995690167491317953e-05 2.763135802469136024e+02 1.624545436052721215e+01
1.815810556613557669e-02 6.785108792352181407e-05 2.786163682864450379e+02 1.641836907233883736e+01
1.839232362436072146e-02 7.095327149885457684e-05 2.816430317848410709e+02 1.601981701194689833e+01
1.863037138017983527e-02 7.115596482089993704e-05 2.839401913875598211e+02 1.607275957703703995e+01
1.886280557207787104e-02 6.449751950033663162e-05 2.848694516971279427e+02 1.738958768592754112e+01
1.909573960115521288e-02 7.170118321703184772e-05 2.869743589743589496e+02 1.624647656315767463e+01
1.933100079269604518e-02 6.740791281490355268e-05 2.872853535353535221e+02 1.597346603533247489e+01
1.956643258492160933e-02 7.263834258317552345e-05 2.866428571428571672e+02 1.636199694542609961e+01
1.980140115393233882e-02 6.562685565221032481e-05 2.878546365914787089e+02 1.666772604845390759e+01
2.002553894851007155e-02 6.516318768203393532e-05 2.853863636363636260e+02 1.707228191886940749e+01
