# q qerr I(q) I(q)err
3.001749291795529316e-03 1.167853270244704247e-04 1.384233333333333348e+03 9.335336372760898485e+02
3.216946015612575076e-03 6.406021311444656113e-05 2.347536231884057997e+03 9.697198212994544519e+02
3.430819248455692968e-03 7.252053699931147659e-05 1.814540229885057443e+03 4.547713098319503047e+02
3.672101494117159613e-03 7.545375631879780269e-05 1.344545454545454504e+03 2.332942627659020900e+02
3.918307832378639319e-03 7.374016049620304720e-05 1.089803738317757052e+03 1.443259124098134691e+02
4.147718136434350687e-03 6.107192035677698103e-05 9.132421052631578959e+02 1.013878781129916291e+02
4.365502826808959243e-03 6.779080658174564808e-05 7.982710280373831893e+02 8.938185494082742366e+01
4.594999596112334626e-03 7.420628290313399807e-05 6.920650406504065586e+02 7.157880100828825221e+01
4.835936192065706969e-03 7.320149930589021881e-05 6.141031746031745797e+02 6.611436471347479937e+01
5.080814687701338921e-03 7.653000632488168636e-05 5.526041666666666288e+02 6.123650881275051461e+01
5.317078266608570546e-03 6.172106439101172914e-05 5.030000000000000000e+02 5.146717321457617089e+01
5.551471060931053268e-03 7.668524467813574576e-05 4.554382716049382793e+02 4.450907252415881743e+01
5.788366925541485984e-03 6.194770960560404868e-05 4.235925925925926094e+02 3.943284823456532706e+01
6.009776342023025880e-03 6.950277321810145736e-05 3.895225806451612698e+02 3.326183452240790217e+01
6.247094567316056890e-03 7.317752475420629581e-05 3.643801169590643099e+02 3.122645756617743729e+01
6.480842620397410207e-03 6.691741107424957404e-05 3.424779874213836592e+02 3.252963341260498709e+01
6.718305882023165379e-03 7.577205940640407739e-05 3.247959183673469283e+02 2.835153170942833967e+01
6.954283760887284942e-03 6.032943043655961634e-05 3.088343558282208505e+02 2.650794092888978071e+01
7.176272274730767682e-03 6.864708281211200774e-05 2.947393617021276668e+02 2.376536099939188418e+01
7.411440332622126065e-03 7.201436331295212967e-05 2.851000000000000227e+02 2.344771843911471265e+01
7.640547325048651327e-03 6.719666067278881421e-05 2.786329787234042783e+02 2.457016748774284309e+01
7.880909625388352394e-03 7.780078248694467205e-05 2.733813559322034052e+02 2.047311789760651379e+01
8.119534573631228755e-03 6.182975050629921810e-05 2.723036649214659519e+02 2.165782098792264421e+01
8.341212846027333885e-03 7.037901862628595019e-05 2.718219178082191547e+02 1.977335931025530513e+01
8.584257463478678699e-03 7.672081168970473167e-05 2.765856573705179358e+02 2.071217033763571180e+01
8.826919166718070683e-03 6.518131950376178396e-05 2.831552511415525260e+02 2.071064807995906776e+01
9.051576779129599792e-03 7.018745924619574326e-05 2.895000000000000000e+02 1.775663021709543443e+01
9.278754197832399936e-03 6.574873290523112796e-05 3.062555066079295329e+02 2.151092705864249410e+01
9.511181178050998053e-03 7.470724405325664997e-05 3.232611940298507420e+02 2.119498828503479615e+01
9.756331684265373561e-03 7.268311501543828993e-05 3.531666666666666856e+02 2.235791902682081300e+01
9.992460030236703650e-03 6.501341219802315996e-05 3.936865079365079509e+02 2.653463748850755266e+01
1.021767907988490980e-02 6.882116667024825156e-05 4.549213483146067460e+02 3.843220938013655541e+01
1.044627826021552429e-02 6.776641009522302674e-05 5.981969696969697452e+02 8.363548150885262089e+01
1.067941769640304468e-02 7.427835917673683769e-05 1.079026755852842825e+03 2.907030275207487193e+02
1.092103363594707117e-02 6.948634926740279217e-05 2.022058219178082254e+03 3.502277442426645280e+02
1.115205959515964615e-02 6.613677834257579403e-05 2.562766784452296633e+03 2.050823102408012915e+02
1.138090927839274270e-02 7.036315799772670850e-05 2.258796052631578732e+03 3.001488783619885794e+02
1.161908717993895106e-02 7.230519164610463203e-05 1.344734177215189902e+03 3.306138250010816932e+02
1.185129732832000682e-02 6.908715592862023315e-05 7.742532467532467990e+02 1.196227905249957644e+02
1.208558089049110301e-02 7.062077464939989495e-05 6.051162079510703506e+02 4.211425773178383736e+01
1.231793957662911075e-02 6.797072397413507841e-05 5.436993670886075734e+02 2.482407335329364528e+01
1.255104362664789287e-02 7.284146348496770690e-05 5.104224137931034306e+02 2.451162799278980486e+01
1.278854709885444453e-02 6.836902354776895477e-05 4.800813253012047994e+02 2.347318936793459443e+01
1.301955791686103432e-02 7.052250088700313892e-05 4.579573863636363740e+02 2.287877627683832316e+01
1.325028003696187423e-02 6.572913682214379116e-05 4.373584337349397515e+02 2.231791819026183887e+01
1.348330464865910884e-02 7.403947498893654331e-05 4.209394736842105544e+02 2.132607419201230670e+01
1.372355777471481568e-02 7.011324266142941383e-05 4.056675749318800968e+02 2.052851487403735220e+01
1.396363525470880468e-02 7.100822662538032210e-05 3.907371134020618797e+02 2.032125510321975526e+01
1.419611930545690293e-02 6.442105916470620042e-05 3.819859550561797619e+02 1.956255564879452180e+01
1.442295386479172138e-02 6.909816387485589995e-05 3.763236842105263236e+02 2.107627192430261687e+01
1.465427040331478310e-02 7.032050413528805792e-05 3.813350383631713498e+02 1.969436837811145224e+01
1.488826669148199562e-02 6.870854531503662287e-05 3.991746835443037753e+02 2.336513260324144881e+01
1.512493372137564684e-02 7.038106039296808131e-05 4.848150851581508505e+02 5.909312131506612786e+01
1.535996817115549591e-02 6.948886920014566576e-05 7.632696078431372371e+02 1.556092990563437297e+02
1.559107684366512793e-02 6.926322144844645774e-05 1.209117500000000064e+03 1.608441372493880976e+02
1.582030048556574975e-02 6.778990216657608829e-05 1.393741602067183521e+03 1.120077505371144184e+02
1.604934829520379691e-02 6.632072085052491666e-05 1.131633507853403216e+03 1.777246555933597563e+02
1.628904364851086611e-02 7.370425539511840857e-05 6.551258907363420576e+02 1.585287422606998575e+02
1.652925296731121152e-02 6.866669088367037858e-05 3.998891752577319494e+02 5.111403573129955902e+01
1.676290647126136429e-02 6.841736000850834820e-05 3.276368286445012927e+02 2.395904788787553841e+01
1.698898227523908816e-02 6.513545783602395407e-05 2.996846361185984051e+02 2.066455140580651673e+01
1.721559450095504207e-02 6.815141817037284600e-05 2.857157622739018166e+02 1.853500421978366219e+01
